DateTime,Entries,UniqueIPs
1642599365,24128,24128
1642600442,24209,24209
1642601163,24149,24149
1642601884,24191,24191
1642602607,24146,24146
1642603683,24181,24181
1642605482,7967,7967
1642607283,24190,24190
1642609083,24207,24207
1642610884,24155,24155
1642612323,24150,24150
1642613043,24190,24190
1642613406,24092,24092
1642614482,12327,12327
1642615624,24117,24117
1642617363,24115,24115
1642618085,24139,24139
1642620242,7967,7967
1642620605,24106,24106
1642621743,24152,24152
1642624204,24062,24062
1642624925,24076,24076
1642625642,24125,24125
1642626013,24058,24058
1642627143,24116,24116
1642628163,24075,24075
1642629243,24146,24146
1642629963,24103,24103
1642632123,24193,24193
1642633323,24257,24257
1642633563,24276,24276
1642635365,24289,24289
1642636504,24371,24371
1642637524,24336,24336
1642638244,24410,24410
1642639382,24370,24370
1642640523,24394,24394
1642641484,24464,24464
1642642207,24404,24404
1642642565,24401,24401
1642644363,24455,24455
1642645805,24488,24488
1642646883,24520,24520
1642647244,24542,24542
1642647962,24526,24526
1642648682,24569,24569
1642650483,24605,24605
1642653006,24539,24539
1642653723,24537,24537
1642654443,24597,24597
1642655883,24591,24591
1642656963,13147,13147
1642657323,24567,24567
1642658043,24639,24639
1642658764,24600,24600
1642660563,24596,24596
1642661644,24658,24658
1642663443,24705,24705
1642664524,7967,7967
1642665243,24790,24790
1642666323,24774,24774
1642667043,24807,24807
1642667405,24723,24723
1642668126,24738,24738
1642670283,24811,24811
1642671005,24781,24781
1642672083,24831,24831
1642673163,24804,24804
1642674606,24803,24803
1642676764,24821,24821
1642678206,24760,24760
1642679283,24796,24796
1642681083,24785,24785
1642681805,24733,24733
1642683244,24789,24789
1642683963,24668,24668
1642684683,24707,24707
1642685405,24634,24634
1642686124,24669,24669
1642687563,24671,24671
1642689006,24649,24649
1642690083,24675,24675
1642691882,24705,24705
1642692243,24727,24727
1642692963,24665,24665
1642694043,24718,24718
1642694764,24682,24682
1642695483,24723,24723
1642696924,24662,24662
1642697643,24712,24712
1642699443,24739,24739
1642700163,24679,24679
1642700523,24717,24717
1642702322,24729,24729
1642703043,24763,24763
1642703763,24686,24686
1642705563,24696,24696
1642706642,24748,24748
1642708444,24711,24711
1642709163,24636,24636
1642709884,24672,24672
1642710244,24696,24696
1642711325,24604,24604
1642712043,24647,24647
1642712763,24599,24599
1642714207,24601,24601
1642714924,24610,24610
1642716123,24567,24567
1642716723,24601,24601
1642717805,24543,24543
1642718524,24538,24538
1642720324,24568,24568
1642721044,24597,24597
1642722124,24503,24503
1642722843,24530,24530
1642723924,24471,24471
1642725006,24413,24413
1642726443,24437,24437
1642727163,24379,24379
1642728605,24329,24329
1642729322,24344,24344
1642730043,24380,24380
1642731483,24351,24351
1642731843,24370,24370
1642733283,24280,24280
1642735083,24272,24272
1642736163,24195,24195
1642737962,24210,24210
1642738684,24240,24240
1642739406,24183,24183
1642740843,24245,24245
1642741563,24221,24221
1642742644,24273,24273
1642744443,24267,24267
1642745523,24266,24266
1642746244,24292,24292
1642746962,24240,24240
1642747324,24247,24247
1642748043,24286,24286
1642748782,7967,7967
1642749484,24281,24281
1642750610,24265,24265
1642750923,24278,24278
1642751643,24339,24339
1642752364,24302,24302
1642753443,24341,24341
1642754163,24262,24262
1642754883,24278,24278
1642757044,24323,24323
1642758124,24303,24303
1642760284,24268,24268
1642761363,3134,3134
1642763163,24269,24269
1642764242,24318,24318
1642764963,23959,23959
1642765683,23985,23985
1642766763,23965,23965
1642768205,23953,23953
1642769284,23956,23956
1642769643,23973,23973
1642770723,23938,23938
1642771083,23963,23963
1642772166,23902,23902
1642772884,23928,23928
1642773244,23939,23939
1642774323,23905,23905
1642775043,23934,23934
1642775764,23851,23851
1642776484,23869,23869
1642776843,23883,23883
1642778643,23861,23861
1642779363,23778,23778
1642780083,23801,23801
1642780815,23748,23748
1642781523,23771,23771
1642781884,23780,23780
1642783324,23689,23689
1642784043,23709,23709
1642784763,23654,23654
1642785903,23690,23690
1642787042,23611,23611
1642787284,23615,23615
1642788363,23561,23561
1642788724,23567,23567
1642789863,23501,23501
1642790883,23493,23493
1642791963,23438,23438
1642792684,23461,23461
1642793044,23473,23473
1642794123,23407,23407
1642795212,23354,23354
1642795924,23369,23369
1642797006,23287,23287
1642797724,23273,23273
1642798084,23292,23292
1642799164,23233,23233
1642799884,23265,23265
1642801325,23139,23139
1642802044,23156,23156
1642803183,23068,23068
1642804206,22971,22971
1642805283,22960,22960
1642807084,22930,22930
1642808884,22847,22847
1642810682,22805,22805
1642811763,22738,22738
1642812483,22768,22768
1642813923,22775,22775
1642814643,22808,22808
1642815364,22719,22719
1642816505,22757,22757
1642818664,22631,22631
1642819323,22628,22628
1642821123,22618,22618
1642821843,22643,22643
1642823043,22576,22576
1642824183,22533,22533
1642824723,22551,22551
1642825805,22485,22485
1642826523,22471,22471
1642827243,22489,22489
1642828323,22429,22429
1642829043,22462,22462
1642830843,22373,22373
1642832644,22317,22317
1642833363,22170,22170
1642834082,22076,22076
1642835883,22069,22069
1642836605,22006,22006
1642837683,22037,22037
1642838763,21994,21994
1642840563,21903,21903
1642841283,21919,21919
1642841644,21931,21931
1642842362,21882,21882
1642843444,21920,21920
1642844163,21736,21736
1642844883,21757,21757
1642846684,21793,21793
1642847405,21734,21734
1642848484,21742,21742
1642849562,21728,21728
1642850643,21778,21778
1642851723,21727,21727
1642853523,21708,21708
1642854605,21656,21656
1642855322,21663,21663
1642855683,21669,21669
1642856823,21634,21634
1642857123,21651,21651
1642858922,21596,21596
1642860123,21671,21671
1642861443,21993,21993
1642862524,21918,21918
1642863723,21900,21900
1642863962,21912,21912
1642865763,21894,21894
1642866124,21911,21911
1642866843,21945,21945
1642867922,21897,21897
1642869723,21798,21798
1642870443,21830,21830
1642871523,21796,21796
1642871883,21814,21814
1642872964,21753,21753
1642873323,21765,21765
1642874522,21725,21725
1642874763,21731,21731
1642876923,21690,21690
1642877283,21701,21701
1642878423,21670,21670
1642879806,21638,21638
1642880882,21657,21657
1642882683,21646,21646
1642883405,21576,21576
1642884483,21592,21592
1642886284,21614,21614
1642887363,21558,21558
1642888442,21600,21600
1642889163,21537,21537
1642889883,21589,21589
1642890605,21534,21534
1642892414,21547,21547
1642892766,21571,21571
1642893484,21922,21922
1642895282,21896,21896
1642897083,21918,21918
1642898163,21875,21875
1642899964,21882,21882
1642900683,21921,21921
1642901405,21877,21877
1642902483,21918,21918
1642902843,21941,21941
1642903922,21918,21918
1642905005,21893,21893
1642905723,21896,21896
1642906443,21931,21931
1642908605,21880,21880
1642909323,21887,21887
1642910042,21917,21917
1642912205,21835,21835
1642912922,21826,21826
1642913643,21843,21843
1642914363,21808,21808
1642915806,21764,21764
1642917244,21805,21805
1642918322,21788,21788
1642918683,21807,21807
1642919405,21755,21755
1642919764,21747,21747
1642921563,21717,21717
1642922643,21754,21754
1642924444,21700,21700
1642926242,21735,21735
1642927684,21680,21680
1642929842,7863,7863
1642930562,21629,21629
1642931283,21658,21658
1642931643,21670,21670
1642932362,21614,21614
1642933504,21700,21700
1642934163,21595,21595
1642935242,21623,21623
1642936682,21610,21610
1642938843,21589,21589
1642941005,21522,21522
1642942810,21503,21503
1642944245,21565,21565
1642945324,21489,21489
1642946044,21520,21520
1642947124,21489,21489
1642948205,21467,21467
1642949642,21486,21486
1642950363,21451,21451
1642951084,21489,21489
1642952884,21483,21483
1642954139,21494,21494
1642955043,21587,21587
1642956484,21562,21562
1642959004,21815,21815
1642960443,21902,21902
1642961523,21919,21919
1642962964,21917,21917
1642963683,21942,21942
1642965483,22006,22006
1642966205,7967,7967
1642967285,22060,22060
1642968363,22070,22070
1642969443,22142,22142
1642970163,22053,22053
1642970883,22094,22094
1642971610,22084,22084
1642972324,22140,22140
1642973405,22115,22115
1642975563,22148,22148
1642976283,22192,22192
1642977363,22168,22168
1642978083,22192,22192
1642978444,22211,22211
1642979163,22200,22200
1642979883,22233,22233
1642981323,22193,22193
1642982043,22235,22235
1642984206,22161,22161
1642984923,22177,22177
1642985283,22201,22201
1642988523,22237,22237
1642989243,22277,22277
1642990683,22287,22287
1642991304,22325,22325
1642992482,22320,22320
1642993923,22361,22361
1642995052,22343,22343
1642995364,22341,22341
1642996445,22393,22393
1642997523,22381,22381
1642998243,22418,22418
1642998963,22350,22350
1642999323,22348,22348
1643000043,22377,22377
1643001843,22386,22386
1643003643,22374,22374
1643005444,22373,22373
1643005805,22330,22330
1643006523,22345,22345
1643007722,22349,22349
1643008323,22373,22373
1643009764,22326,22326
1643010483,22383,22383
1643010844,22398,22398
1643011563,22446,22446
1643013005,22453,22453
1643014082,22486,22486
1643016243,22539,22539
1643018044,22505,22505
1643018763,22451,22451
1643019483,22495,22495
1643020207,22439,22439
1643020563,22433,22433
1643021643,22474,22474
